date,num1,num2,num3,num4,num5,powerball,powerplay,era,odd_count,sum,range,consec_pairs,n_decades,repeats_from_prev
1992-04-22,2,25,35,41,42,15,,A: 1992-1997 (5/45+1/45),3,145,40,1,4,
1992-04-25,6,9,22,42,44,12,,A: 1992-1997 (5/45+1/45),1,123,38,0,3,1.0
1992-04-29,1,8,10,28,35,10,,A: 1992-1997 (5/45+1/45),2,82,34,0,3,0.0
1992-05-02,14,23,31,32,41,33,,A: 1992-1997 (5/45+1/45),3,141,27,1,4,0.0
1992-05-06,27,29,30,36,43,4,,A: 1992-1997 (5/45+1/45),3,165,16,1,3,0.0
1992-05-09,1,12,16,23,31,33,,A: 1992-1997 (5/45+1/45),3,83,30,0,4,0.0
1992-05-13,3,6,13,33,43,37,,A: 1992-1997 (5/45+1/45),4,98,40,0,4,0.0
1992-05-16,2,9,19,28,30,38,,A: 1992-1997 (5/45+1/45),2,88,28,0,3,0.0
1992-05-20,3,11,16,30,34,45,,A: 1992-1997 (5/45+1/45),2,94,31,0,4,1.0
1992-05-23,23,27,28,36,44,26,,A: 1992-1997 (5/45+1/45),2,158,21,1,3,0.0
1992-05-27,30,32,41,42,44,6,,A: 1992-1997 (5/45+1/45),1,189,14,1,3,1.0
1992-05-30,4,8,17,19,45,9,,A: 1992-1997 (5/45+1/45),3,93,41,0,3,0.0
1992-06-03,1,2,11,19,30,15,,A: 1992-1997 (5/45+1/45),3,63,29,1,3,1.0
1992-06-06,2,6,9,10,42,20,,A: 1992-1997 (5/45+1/45),1,69,40,1,2,1.0
1992-06-10,1,8,24,30,36,28,,A: 1992-1997 (5/45+1/45),1,99,35,0,3,0.0
1992-06-13,13,27,29,42,43,41,,A: 1992-1997 (5/45+1/45),4,154,30,1,3,0.0
1992-06-17,1,9,14,26,32,13,,A: 1992-1997 (5/45+1/45),2,82,31,0,4,0.0
1992-06-20,7,11,15,21,35,12,,A: 1992-1997 (5/45+1/45),5,89,28,0,4,0.0
1992-06-24,9,10,19,36,40,39,,A: 1992-1997 (5/45+1/45),2,114,31,1,3,0.0
1992-06-27,17,23,24,31,35,25,,A: 1992-1997 (5/45+1/45),4,130,18,1,3,0.0
1992-07-01,10,24,31,33,45,30,,A: 1992-1997 (5/45+1/45),3,143,35,0,4,2.0
1992-07-04,5,7,15,22,45,31,,A: 1992-1997 (5/45+1/45),4,94,40,0,4,1.0
1992-07-08,9,25,28,35,43,13,,A: 1992-1997 (5/45+1/45),4,140,34,0,4,0.0
1992-07-11,9,11,24,28,44,20,,A: 1992-1997 (5/45+1/45),2,116,35,0,4,2.0
1992-07-15,12,18,24,30,36,32,,A: 1992-1997 (5/45+1/45),0,120,24,0,3,1.0
1992-07-18,2,5,18,19,35,40,,A: 1992-1997 (5/45+1/45),3,79,33,1,3,1.0
1992-07-22,4,16,18,19,36,3,,A: 1992-1997 (5/45+1/45),1,93,32,1,3,2.0
1992-07-25,15,21,27,32,37,37,,A: 1992-1997 (5/45+1/45),4,132,22,0,3,0.0
1992-07-29,1,12,29,35,42,29,,A: 1992-1997 (5/45+1/45),3,119,41,0,5,0.0
1992-08-01,10,15,17,20,28,29,,A: 1992-1997 (5/45+1/45),2,90,18,0,3,0.0
1992-08-05,8,15,21,26,38,6,,A: 1992-1997 (5/45+1/45),2,108,30,0,4,1.0
1992-08-08,5,14,19,26,30,27,,A: 1992-1997 (5/45+1/45),2,94,25,0,3,1.0
1992-08-12,2,3,6,11,23,33,,A: 1992-1997 (5/45+1/45),3,45,21,1,3,0.0
1992-08-15,7,16,17,42,45,12,,A: 1992-1997 (5/45+1/45),3,127,38,1,3,0.0
1992-08-19,2,5,9,11,17,41,,A: 1992-1997 (5/45+1/45),4,44,15,0,2,1.0
1992-08-22,4,36,40,43,44,43,,A: 1992-1997 (5/45+1/45),1,167,40,1,3,0.0
1992-08-26,6,7,25,33,36,1,,A: 1992-1997 (5/45+1/45),3,107,30,1,3,1.0
1992-08-29,14,17,30,32,41,27,,A: 1992-1997 (5/45+1/45),2,134,27,0,4,0.0
1992-09-02,3,9,16,24,34,5,,A: 1992-1997 (5/45+1/45),2,86,31,0,4,0.0
1992-09-05,3,4,23,24,34,6,,A: 1992-1997 (5/45+1/45),2,88,31,2,3,3.0
1992-09-09,12,17,27,33,37,37,,A: 1992-1997 (5/45+1/45),4,126,25,0,3,0.0
1992-09-12,10,20,22,26,34,35,,A: 1992-1997 (5/45+1/45),0,112,24,0,4,0.0
1992-09-16,9,13,25,33,34,20,,A: 1992-1997 (5/45+1/45),4,114,25,1,4,1.0
1992-09-19,17,19,21,29,36,45,,A: 1992-1997 (5/45+1/45),4,122,19,0,3,0.0
1992-09-23,12,18,20,26,40,11,,A: 1992-1997 (5/45+1/45),0,116,28,0,3,0.0
1992-09-26,17,24,40,44,45,14,,A: 1992-1997 (5/45+1/45),2,170,28,1,4,1.0
1992-09-30,2,9,22,23,24,6,,A: 1992-1997 (5/45+1/45),2,80,22,2,2,1.0
1992-10-03,18,36,39,40,43,5,,A: 1992-1997 (5/45+1/45),2,176,25,1,3,0.0
1992-10-07,9,10,20,31,34,10,,A: 1992-1997 (5/45+1/45),2,104,25,1,3,0.0
1992-10-10,3,8,23,26,35,34,,A: 1992-1997 (5/45+1/45),3,95,32,0,3,0.0
1992-10-14,18,20,23,34,40,2,,A: 1992-1997 (5/45+1/45),1,135,22,0,3,1.0
1992-10-17,5,13,22,28,29,12,,A: 1992-1997 (5/45+1/45),3,97,24,1,3,0.0
1992-10-21,6,23,26,28,29,36,,A: 1992-1997 (5/45+1/45),2,112,23,1,2,2.0
1992-10-24,3,16,24,31,35,16,,A: 1992-1997 (5/45+1/45),3,109,32,0,4,0.0
1992-10-28,1,4,10,18,36,28,,A: 1992-1997 (5/45+1/45),1,69,35,0,3,0.0
1992-10-31,9,15,17,26,43,22,,A: 1992-1997 (5/45+1/45),4,110,34,0,4,0.0
1992-11-04,6,8,9,22,30,36,,A: 1992-1997 (5/45+1/45),1,75,24,1,2,1.0
1992-11-07,2,3,22,39,42,21,,A: 1992-1997 (5/45+1/45),2,108,40,1,4,1.0
1992-11-11,4,31,34,38,44,39,,A: 1992-1997 (5/45+1/45),1,151,40,0,3,0.0
